2009-06-22 9:41:10 INFO: Parsing Host for Tacho: http://neinstall01/neteye/cgi-bin/avail.cgi?t1=1241163670&t2=1243755670&show_log_entries=&host=all&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedhoststate=3&initialassumedservicestate=6&timeperiod=&backtrack=4
2009-06-22 9:46:10 OK: Parsing Configuration Host report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:10 INFO: New SERVICE scanner session initialized.
2009-06-22 9:46:28 OK: Parsing Configuration Host report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:29 OK: Parsing Configuration Service report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:33 OK: Parsing Configuration Service report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:34 OK: Parsing Configuration Service report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:35 OK: Parsing Configuration Host report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:35 OK: Parsing Configuration Service report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:38 OK: Parsing Configuration Host report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
2009-06-22 9:46:39 OK: Parsing Configuration Service report: http://neinstall01/neteye/cgi-bin/avail.cgi?show_log_entries=&host=DemoLinuxRedHat&service=all&timeperiod="lastmonth"&smon=1&sday=1&syear=2009&shour=0&smin=0&ssec=0&emon=1&eday=22&eyear=2009&ehour=24&emin=0&esec=0&rpttimeperiod=&assumeinitialstates=yes&assumestateretention=yes&assumestatesduringnotrunning=yes&includesoftstates=no&initialassumedservicestate=0&backtrack=4
